Antecedent;Consequent
 BIO Molkerei 0,55 _|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Klassik Semmel 0,30| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Klassik Semmel 0,30|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec|  Wiener Teller ; Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec ; Klassik Semmel 0,30   
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Klassik Semmel 0,30   
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Klassik Semmel 0,30|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Klassik Semmel 0,30|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  Klassik Semmel 0,30| 
 Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Klassik Semmel 0,30| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30 ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 Klassik Semmel 0,30|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl. ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Wiener Teller ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch ; Breze 0,65|  Port. Butter Honig ec| 
 Klassik Semmel 0,30|  O-Saft frisch|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30 ; O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Klassik Semmel 0,30|  Wiener Teller ; BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 Klassik Semmel 0,30|  Port. Butter Honig ec|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Breze 0,65   
 Breze 0,65|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl. ; O-Saft frisch   
 Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch| 
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch ; Port. Butter Honig ec   
 Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec ; O-Saft frisch   
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Wiener Teller ; Breze 0,65|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl. ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Wiener Teller ; O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 Breze 0,65|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Breze 0,65|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Wiener Teller ; Breze 0,65|  O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch ; Port. Butter Honig ec   
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Wiener Teller ; BIO Molkerei 0,55 _|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65   
 Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec ; O-Saft frisch   
 Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Wiener Teller ; BIO Molkerei 0,55 _|  O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Port. Butter Honig ec| 
 Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  Breze 0,65| 
 Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _|  O-Saft frisch| 
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec ; BIO Molkerei 0,55 _   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl. ; Port. Butter Honig ec   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Wiener Teller ; Port. Butter Honig ec|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Proz. Rabatt/Aufschl.|  Wiener Teller ; O-Saft frisch|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  Port. Butter Honig ec| 
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Port. Butter Honig ec| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Breze 0,65   
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; Breze 0,65|  Proz. Rabatt/Aufschl.| 
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65|  O-Saft frisch| 
 Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  Breze 0,65| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; O-Saft frisch   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Wiener Teller ; O-Saft frisch|  Proz. Rabatt/Aufschl.| 
 Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _|  O-Saft frisch| 
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec ; Proz. Rabatt/Aufschl.   
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; BIO Molkerei 0,55 _|  Proz. Rabatt/Aufschl.| 
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; BIO Molkerei 0,55 _   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl. ; Wiener Teller   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; Proz. Rabatt/Aufschl.   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Port. Butter Honig ec   
 BIO Molkerei 0,55 _|  Breze 0,65|  Klassik Semmel 0,30|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; O-Saft frisch   
 BIO Molkerei 0,55 _|  Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Klassik Semmel 0,30   
 BIO Molkerei 0,55 _|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; Breze 0,65   
 Breze 0,65|  Klassik Semmel 0,30|  O-Saft frisch|  Port. Butter Honig ec|  Proz. Rabatt/Aufschl.|  Wiener Teller ; BIO Molkerei 0,55 _   
 Breze 0,65|  Wiener Teller ; O-Saft frisch|  Port. Butter Honig ec| 
 Port. Butter Honig ec|  Wiener Teller ; Breze 0,65|  O-Saft frisch| 
 O-Saft frisch|  Wiener Teller ; Breze 0,65|  Port. Butter Honig ec| 
 Breze 0,65|  O-Saft frisch|  Wiener Teller ; Port. Butter Honig ec   
 Breze 0,65|  Port. Butter Honig ec|  Wiener Teller ; O-Saft frisch   
 O-Saft frisch|  Port. Butter Honig ec|  Wiener Teller ; Breze 0,65   
 BIO Molkerei 1,00|  belegte Backw. 2,50 ; Obstbecher 0,90   
 Obstbecher 0,90|  belegte Backw. 2,50 ; BIO Molkerei 1,00   
 BIO Joghurt Frucht|  SalatTeller ; belegte Backw. 1,70   
 BIO Joghurt Frucht|  belegte Backw. 1,70 ; SalatTeller   
 Leberkäse Teller|  Wiener ; Breze 0,65   
 Leberkäse Teller|  Proz. Rabatt/Aufschl. ; Breze 0,65   
 BIO Frucht Buttermilch|  BIO Frucht Buttermilch ; BIO Molkerei 0,80   
 BeiwerkTeller|  Key/Card-Aufladung ; Währungsumstellung   
 BeiwerkTeller|  Währungsumstellung ; Key/Card-Aufladung   
 Aktion 3,20|  Aktion 3,20 ; Penne Integrale mit Ratatouille |  SalatTeller| 
 Aktion 3,20|  Aktion 3,20|  Penne Integrale mit Ratatouille  ; SalatTeller   
 Aktion 3,20|  Penne Integrale mit Ratatouille  ; SalatTeller   
 Aktion 3,20|  SalatTeller ;, 
 SalatTeller|  SalatTeller ; Aktion 3,20   
 BIO Molkerei 0,50|  BIO Molkerei 1,20 ; Port. Butter Honig ec   
 BIO Molkerei 1,20|  Port. Butter Honig ec ; BIO Molkerei 0,50   
 BIO Molkerei 1,20|  Debrecziner ; Semmeln   
 BIO Molkerei 1,20|  Semmeln ; Debrecziner   
 BIO Molkerei 1,20|  BeiwerkTeller ; Salat Schale   
 BIO Molkerei 1,20|  Salat Schale ; BeiwerkTeller   
 Salat Schale|  ToGo Zuschlag ; Tagessuppe a 0,30   
 Tagessuppe a 0,30|  ToGo Zuschlag ; Salat Schale   
 Chili con Carne |  ToGo Zuschlag ; Semmeln   
 Semmeln|  ToGo Zuschlag ; Chili con Carne    
 Dessert a 1,60|  ToGo Zuschlag ; Beilage a 0,45   
 SalatTeller|  ToGo Zuschlag ; Beilage a 0,45   
 O-Saft frisch|  ToGo Zuschlag ; Beilage a 0,45   
 O-Saft frisch|  O-Saft frisch|  ToGo Zuschlag ; Beilage a 0,45   
 Kochbananengemüse mit Reis im Eierkuchen |  Salat Port.  0,60 ; Salat Schale   
 Kochbananengemüse mit Reis im Eierkuchen |  Salat Schale ; Salat Port.  0,60   
 Beilage a 0,40|  Kochbananengemüse mit Reis im Eierkuchen  ; Suppe 1,00|  Tagessuppe a 0,30| 
 Kochbananengemüse mit Reis im Eierkuchen |  Suppe 1,00 ; Beilage a 0,40|  Tagessuppe a 0,30| 
 Kochbananengemüse mit Reis im Eierkuchen |  Tagessuppe a 0,30 ; Beilage a 0,40|  Suppe 1,00| 
 Beilage a 0,40|  Kochbananengemüse mit Reis im Eierkuchen |  Suppe 1,00 ; Tagessuppe a 0,30   
 Beilage a 0,40|  Kochbananengemüse mit Reis im Eierkuchen |  Tagessuppe a 0,30 ; Suppe 1,00   
 Kochbananengemüse mit Reis im Eierkuchen |  Suppe 1,00|  Tagessuppe a 0,30 ; Beilage a 0,40   
 Aktion 3,80|  Salat Port.  0,60 ; O-Saft frisch   
 Debrecziner|  Tafelspitz vom Rind mit Meerrettich und Bouillonkartoffeln  ; Wiener   
 Tafelspitz vom Rind mit Meerrettich und Bouillonkartoffeln |  Wiener ; Debrecziner   
 Pfälzer|  Wiener ; Debrecziner   
 Breze 0,65|  Debrecziner|  Semmeln ; Wiener   
 Breze 0,65|  Debrecziner|  Wiener ; Semmeln   
 Breze 0,65|  Semmeln|  Wiener ; Debrecziner   
 Debrecziner|  Semmeln|  Wiener ; Breze 0,65   
 Molkereiprodukte 0,65|  SalatTeller ; O-Saft frisch   
 Beilage a 0,45|  Molkereiprodukte 0,65 ; Tagessuppe a 0,30   
 Molkereiprodukte 0,65|  Tagessuppe a 0,30 ; Beilage a 0,45   
 Molkereiprodukte 0,65|  Obst 0,40 ; O-Saft frisch   
 Aktion 4,80|  Aktion 4,80 ; Käse-Mohn Breze   
 Aktion 4,80|  Käse-Mohn Breze ;, 
 Aktion 4,80|  Aktion 4,80|  Aktion 4,80 ; Käse-Mohn Breze   
 Käse-Mohn Breze|  Käse-Mohn Breze ; Aktion 4,80   
 Dessert a 1,50|  Semmeln ; Tagessuppe a 0,30   
 Backwaren Kuchen 1,30|  Dessert a 1,50 ; Breze 0,65|  Tagessuppe a 0,30| 
 Breze 0,65|  Dessert a 1,50 ; Backwaren Kuchen 1,30|  Tagessuppe a 0,30| 
 Backwaren Kuchen 1,30|  Breze 0,65|  Dessert a 1,50 ; Tagessuppe a 0,30   
 Backwaren Kuchen 1,30|  Dessert a 1,50|  Tagessuppe a 0,30 ; Breze 0,65   
 Breze 0,65|  Dessert a 1,50|  Tagessuppe a 0,30 ; Backwaren Kuchen 1,30   
 BeiwerkTeller|  Dessert a 1,50 ; Obstbecher 0,90|  SalatTeller| 
 BeiwerkTeller|  Dessert a 1,50|  Obstbecher 0,90 ; SalatTeller   
 BeiwerkTeller|  Dessert a 1,50|  SalatTeller ; Obstbecher 0,90   
 Dessert a 1,50|  Obstbecher 0,90|  SalatTeller ; BeiwerkTeller   
 BIO Molkerei 1,00|  Dessert a 1,50 ; O-Saft frisch|  Salat Schale| 
 BIO Molkerei 1,00|  Salat Schale ; O-Saft frisch   
 Dessert a 1,50|  Salat Schale ; BIO Molkerei 1,00|  O-Saft frisch| 
 Dessert a 1,50|  O-Saft frisch ; BIO Molkerei 1,00|  Salat Schale| 
 BIO Molkerei 1,00|  Dessert a 1,50|  O-Saft frisch ; Salat Schale   
 BIO Molkerei 1,00|  Dessert a 1,50|  Salat Schale ; O-Saft frisch   
 BIO Molkerei 1,00|  O-Saft frisch|  Salat Schale ; Dessert a 1,50   
 Dessert a 1,50|  O-Saft frisch|  Salat Schale ; BIO Molkerei 1,00   
 Dessert a 1,50|  Obstbecher 0,90 ; Beilage a 0,45   
 Beilage a 0,20|  Salat Schale ; BeiwerkTeller|  Breze 0,65|  Tagessuppe a 0,30| 
 Beilage a 0,20|  BeiwerkTeller|  Breze 0,65 ; Tagessuppe a 0,30   
 Beilage a 0,20|  BeiwerkTeller|  Salat Schale ; Breze 0,65|  Tagessuppe a 0,30| 
 Beilage a 0,20|  Breze 0,65|  Salat Schale ; BeiwerkTeller|  Tagessuppe a 0,30| 
 Beilage a 0,20|  Salat Schale|  Tagessuppe a 0,30 ; BeiwerkTeller|  Breze 0,65| 
 Beilage a 0,20|  BeiwerkTeller|  Tagessuppe a 0,30 ; Breze 0,65   
 Beilage a 0,20|  BeiwerkTeller|  Breze 0,65|  Salat Schale ; Tagessuppe a 0,30   
 Beilage a 0,20|  BeiwerkTeller|  Breze 0,65|  Tagessuppe a 0,30 ; Salat Schale   
 Beilage a 0,20|  BeiwerkTeller|  Salat Schale|  Tagessuppe a 0,30 ; Breze 0,65   
 Beilage a 0,20|  Breze 0,65|  Salat Schale|  Tagessuppe a 0,30 ; BeiwerkTeller   
 Beilage a 0,20|  Breze 0,65 ; Tagessuppe a 0,30   
 Beilage a 0,20|  Breze 0,65|  Salat Port.  0,60 ; Tagessuppe a 0,30   
 Beilage a 0,20|  Salat Port.  0,60|  Tagessuppe a 0,30 ; Breze 0,65   
 Beilage a 0,20|  Beilage a 0,75 ; Suppe 1,00   
 Port. Butter Honig ec|  Senf 0,10 ; Breze 0,65|  Wiener| 
 Breze 0,65|  Port. Butter Honig ec|  Senf 0,10 ; Wiener   
 Breze 0,65|  Senf 0,10|  Wiener ; Port. Butter Honig ec   
 Port. Butter Honig ec|  Senf 0,10|  Wiener ; Breze 0,65   
 Senf 0,10|  Weißwurst ; Breze 0,65   
 Senf 0,10|  belegte Backw. 1,70 ; O-Saft frisch   
 Ei 0,30|  Senf 0,10 ; belegte Backw. 2,30   
 Senf 0,10|  belegte Backw. 2,30 ; Ei 0,30   
 Leberkäse Semmel|  Senf 0,10 ; Semmeln   
 Pfälzer|  Senf 0,10 ; Breze 0,65|  O-Saft frisch|  Salat Port.  0,60|  belegte Backw. 1,40| 
 Pfälzer|  belegte Backw. 1,40 ; Breze 0,65|  O-Saft frisch|  Salat Port.  0,60| 
