Antecedent;Consequent
 Aktion 1,40|  Fruchtsaft frisch|  belegte Backw. 2,30 ; Aktion 0,80|  O-Saft frisch| 
 Aktion 0,80|  Fruchtsaft frisch|  O-Saft frisch ; Aktion 1,40|  belegte Backw. 2,30| 
 Aktion 1,40|  Fruchtsaft frisch|  O-Saft frisch ; Aktion 0,80|  belegte Backw. 2,30| 
 Aktion 0,80|  Fruchtsaft frisch|  Fruchtsaft frisch ; Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch ; Aktion 0,80|  O-Saft frisch|  belegte Backw. 2,30| 
 Fruchtsaft frisch|  Fruchtsaft frisch|  belegte Backw. 2,30 ; Aktion 0,80|  Aktion 1,40|  O-Saft frisch| 
 Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch ; Aktion 0,80|  Aktion 1,40|  belegte Backw. 2,30| 
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch|  O-Saft frisch ; belegte Backw. 2,30   
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch|  belegte Backw. 2,30 ; O-Saft frisch   
 Aktion 0,80|  Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30 ; Fruchtsaft frisch   
 Aktion 0,80|  Fruchtsaft frisch|  O-Saft frisch|  belegte Backw. 2,30 ; Aktion 1,40   
 Aktion 1,40|  Fruchtsaft frisch|  O-Saft frisch|  belegte Backw. 2,30 ; Aktion 0,80   
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch ; O-Saft frisch|  belegte Backw. 2,30| 
 Aktion 0,80|  Fruchtsaft frisch|  Fruchtsaft frisch|  belegte Backw. 2,30 ; Aktion 1,40|  O-Saft frisch| 
 Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch|  belegte Backw. 2,30 ; Aktion 0,80|  O-Saft frisch| 
 Aktion 0,80|  Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch ; Aktion 1,40|  belegte Backw. 2,30| 
 Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch ; Aktion 0,80|  belegte Backw. 2,30| 
 Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch|  belegte Backw. 2,30 ; Aktion 0,80|  Aktion 1,40| 
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch ; belegte Backw. 2,30   
 Aktion 0,80|  Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch|  belegte Backw. 2,30 ; O-Saft frisch   
 Aktion 0,80|  Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch|  belegte Backw. 2,30 ; Aktion 1,40   
 Aktion 1,40|  Fruchtsaft frisch|  Fruchtsaft frisch|  O-Saft frisch|  belegte Backw. 2,30 ; Aktion 0,80   
 Aktion frei|  Eintrittskarte ; belegte Backw. 1,70   
 Aktion frei|  belegte Backw. 1,70 ; Eintrittskarte   
 Marmelade 0,35|  Porridge 1,70 \x80 ; Breze 0,65|  O-Saft frisch|  Port. Butter Honig ec| 
 Porridge 1,70 \x80|  Port. Butter Honig ec ; Breze 0,65|  Marmelade 0,35|  O-Saft frisch| 
 O-Saft frisch|  Porridge 1,70 \x80 ; Breze 0,65|  Marmelade 0,35|  Port. Butter Honig ec| 
 Marmelade 0,35|  O-Saft frisch|  Porridge 1,70 \x80 ; Breze 0,65|  Port. Butter Honig ec| 
 Marmelade 0,35|  Porridge 1,70 \x80|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 O-Saft frisch|  Porridge 1,70 \x80|  Port. Butter Honig ec ; Breze 0,65|  Marmelade 0,35| 
 Breze 0,65|  Porridge 1,70 \x80 ; Marmelade 0,35|  O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  O-Saft frisch|  Porridge 1,70 \x80 ; Marmelade 0,35|  Port. Butter Honig ec| 
 Breze 0,65|  Porridge 1,70 \x80|  Port. Butter Honig ec ; Marmelade 0,35|  O-Saft frisch| 
 Breze 0,65|  Marmelade 0,35|  Porridge 1,70 \x80 ; O-Saft frisch|  Port. Butter Honig ec| 
 Breze 0,65|  Marmelade 0,35|  O-Saft frisch|  Porridge 1,70 \x80 ; Port. Butter Honig ec   
 Breze 0,65|  Marmelade 0,35|  Porridge 1,70 \x80|  Port. Butter Honig ec ; O-Saft frisch   
 Breze 0,65|  O-Saft frisch|  Porridge 1,70 \x80|  Port. Butter Honig ec ; Marmelade 0,35   
 Marmelade 0,35|  O-Saft frisch|  Porridge 1,70 \x80|  Port. Butter Honig ec ; Breze 0,65   
 Aktion 1,40|  O-Saft frisch ;, 
 Aktion 0,80|  belegte Backw. 2,30|  belegte Backw. 2,30 ; Aktion 1,40|  O-Saft frisch| 
 Aktion 1,40|  belegte Backw. 2,30|  belegte Backw. 2,30 ; Aktion 0,80|  O-Saft frisch| 
 Aktion 0,80|  Aktion 1,40|  belegte Backw. 2,30|  belegte Backw. 2,30 ; O-Saft frisch   
 Aktion 1,40|  O-Saft frisch|  belegte Backw. 2,30|  belegte Backw. 2,30 ; Aktion 0,80   
 Aktion 0,60|  BIO Molkerei 1,00 ; Aktion 0,80|  belegte Backw. 2,30| 
 Aktion 0,80|  BIO Molkerei 1,00 ; belegte Backw. 2,30   
 Aktion 0,60|  belegte Backw. 2,30 ; Aktion 0,80|  BIO Molkerei 1,00| 
 Aktion 0,60|  Aktion 0,80|  BIO Molkerei 1,00 ; belegte Backw. 2,30   
 Aktion 0,60|  Aktion 0,80|  belegte Backw. 2,30 ; BIO Molkerei 1,00   
 Aktion 0,60|  BIO Molkerei 1,00|  belegte Backw. 2,30 ; Aktion 0,80   
 Aktion 0,80|  BIO Molkerei 1,00|  belegte Backw. 2,30 ; Aktion 0,60   
 Aktion 0,60|  Kornsemmel 0,40 ; Port. Butter Honig ec   
 Aktion 0,60|  Port. Butter Honig ec ; Kornsemmel 0,40   
 Aktion 0,60|  Eintrittskarte ; Aktion 0,80|  O-Saft frisch| 
 Aktion 0,60|  O-Saft frisch ; Aktion 0,80|  Eintrittskarte| 
 Aktion 0,60|  Aktion 0,80|  Eintrittskarte ; O-Saft frisch   
 Aktion 0,60|  Aktion 0,80|  O-Saft frisch ; Eintrittskarte   
 Aktion 0,60|  Eintrittskarte|  O-Saft frisch ; Aktion 0,80   
 Aktion 0,80|  Eintrittskarte|  O-Saft frisch ; Aktion 0,60   
 Aktion 0,80|  Aktion 0,80 ; Aktion 0,60   
 BIO Molkerei 0,50|  Handelsware frei ; Kornsemmel 0,40|  Port. Butter Honig ec| 
 Handelsware frei|  Port. Butter Honig ec ; BIO Molkerei 0,50|  Kornsemmel 0,40| 
 Handelsware frei|  Kornsemmel 0,40 ; BIO Molkerei 0,50|  Port. Butter Honig ec| 
 BIO Molkerei 0,50|  Handelsware frei|  Kornsemmel 0,40 ; Port. Butter Honig ec   
 BIO Molkerei 0,50|  Handelsware frei|  Port. Butter Honig ec ; Kornsemmel 0,40   
 Handelsware frei|  Kornsemmel 0,40|  Port. Butter Honig ec ; BIO Molkerei 0,50   
 Backwaren 1,80|  Backwaren 1,80 ; Backwaren Kuchen 1,30|  Weißwurst| 
 Backwaren 1,80|  Backwaren 1,80|  Backwaren Kuchen 1,30 ; Weißwurst   
 Backwaren 1,80|  Backwaren 1,80|  Weißwurst ; Backwaren Kuchen 1,30   
 Backwaren 1,80|  Breze 0,65 ; belegte Backw. 1,70   
 Backwaren 1,80|  belegte Backw. 1,70 ; Breze 0,65   
 BIO Molkerei 0,80|  Backwaren 1,80 ; Ei 0,30|  Klassik Semmel 0,30| 
 Backwaren 1,80|  Ei 0,30 ; BIO Molkerei 0,80|  Klassik Semmel 0,30| 
 Backwaren 1,80|  Klassik Semmel 0,30 ; BIO Molkerei 0,80|  Ei 0,30| 
 BIO Molkerei 0,80|  Backwaren 1,80|  Ei 0,30 ; Klassik Semmel 0,30   
 BIO Molkerei 0,80|  Backwaren 1,80|  Klassik Semmel 0,30 ; Ei 0,30   
 Backwaren 1,80|  Ei 0,30|  Klassik Semmel 0,30 ; BIO Molkerei 0,80   
 Backwaren 1,80|  Weißwurst ; Backwaren Kuchen 1,30   
 Backwaren 1,80|  Backwaren Kuchen 1,30 ; Weißwurst   
 Backwaren 1,80|  Backwaren Kuchen 1,30|  Backwaren Kuchen 1,30 ; Weißwurst   
 Marmelade 0,35|  Molkereiprodukte 0,25 ; Breze 0,65|  Port. Butter Honig ec| 
 Molkereiprodukte 0,25|  Port. Butter Honig ec ; Breze 0,65|  Marmelade 0,35| 
 Breze 0,65|  Molkereiprodukte 0,25 ; Marmelade 0,35|  Port. Butter Honig ec| 
 Breze 0,65|  Marmelade 0,35|  Molkereiprodukte 0,25 ; Port. Butter Honig ec   
 Breze 0,65|  Molkereiprodukte 0,25|  Port. Butter Honig ec ; Marmelade 0,35   
 Marmelade 0,35|  Molkereiprodukte 0,25|  Port. Butter Honig ec ; Breze 0,65   
 BIO Back 0,45|  Molkereiprodukte 0,25 ; BIO-Rührei|  O-Saft frisch|  Obstbecher 0,90| 
 BIO-Rührei|  Molkereiprodukte 0,25 ; BIO Back 0,45|  O-Saft frisch|  Obstbecher 0,90| 
 Molkereiprodukte 0,25|  Obstbecher 0,90 ; BIO Back 0,45|  BIO-Rührei|  O-Saft frisch| 
 BIO Back 0,45|  BIO-Rührei|  Molkereiprodukte 0,25 ; O-Saft frisch|  Obstbecher 0,90| 
 BIO Back 0,45|  Molkereiprodukte 0,25|  Obstbecher 0,90 ; BIO-Rührei|  O-Saft frisch| 
 BIO-Rührei|  Molkereiprodukte 0,25|  Obstbecher 0,90 ; BIO Back 0,45|  O-Saft frisch| 
 Molkereiprodukte 0,25|  O-Saft frisch ; BIO Back 0,45|  BIO-Rührei|  Obstbecher 0,90| 
 BIO Back 0,45|  Molkereiprodukte 0,25|  O-Saft frisch ; BIO-Rührei|  Obstbecher 0,90| 
 Molkereiprodukte 0,25|  O-Saft frisch|  Obstbecher 0,90 ; BIO Back 0,45|  BIO-Rührei| 
 BIO-Rührei|  Molkereiprodukte 0,25|  O-Saft frisch ; BIO Back 0,45|  Obstbecher 0,90| 
 BIO Back 0,45|  BIO-Rührei|  Molkereiprodukte 0,25|  O-Saft frisch ; Obstbecher 0,90   
 BIO Back 0,45|  BIO-Rührei|  Molkereiprodukte 0,25|  Obstbecher 0,90 ; O-Saft frisch   
 BIO Back 0,45|  BIO-Rührei|  O-Saft frisch|  Obstbecher 0,90 ; Molkereiprodukte 0,25   
 BIO Back 0,45|  Molkereiprodukte 0,25|  O-Saft frisch|  Obstbecher 0,90 ; BIO-Rührei   
 BIO-Rührei|  Molkereiprodukte 0,25|  O-Saft frisch|  Obstbecher 0,90 ; BIO Back 0,45   
 Ei 0,30|  Molkereiprodukte 0,25 ; belegte Backw. 1,70   
 Molkereiprodukte 0,25|  belegte Backw. 1,70 ; Ei 0,30   
 Molkereiprodukte 0,25|  Semmeln ; Wiener   
 Molkereiprodukte 0,25|  Wiener ; Semmeln   
 Leberkäse Teller|  Schankgetränke ; Breze 0,65   
 Marmelade 0,35|  Schankgetränke ; Wiener   
 Breze 0,65|  Schankgetränke|  Senf 0,10 ; Wiener Teller   
 Schankgetränke|  Semmeln|  Senf 0,10 ; Wiener Teller   
 Schankgetränke|  Weißwurst ; Breze 0,65   
 BIO Molkerei 0,80|  Küche frei ; Obstbecher 0,90   
 Kornsemmel 0,40|  Küche frei ; Wiener   
 Breze 0,65|  Küche frei ; Wiener   
 Butterbreze 1,10|  Küche frei ; Backwaren Kuchen 1,30|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30| 
 Küche frei|  Obst 0,40 ; Backwaren Kuchen 1,30|  Butterbreze 1,10|  O-Saft frisch|  belegte Backw. 2,30| 
 Butterbreze 1,10|  Küche frei|  Obst 0,40 ; Backwaren Kuchen 1,30|  O-Saft frisch|  belegte Backw. 2,30| 
 Butterbreze 1,10|  Küche frei|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  O-Saft frisch|  Obst 0,40| 
 Butterbreze 1,10|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  O-Saft frisch| 
 Küche frei|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  Butterbreze 1,10|  O-Saft frisch| 
 Backwaren Kuchen 1,30|  Küche frei ; Butterbreze 1,10|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei ; O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Küche frei|  Obst 0,40 ; Butterbreze 1,10|  O-Saft frisch|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Küche frei|  belegte Backw. 2,30 ; Butterbreze 1,10|  O-Saft frisch|  Obst 0,40| 
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  Obst 0,40 ; O-Saft frisch|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  belegte Backw. 2,30 ; O-Saft frisch|  Obst 0,40| 
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Obst 0,40|  belegte Backw. 2,30 ; O-Saft frisch   
 Backwaren Kuchen 1,30|  Küche frei|  Obst 0,40|  belegte Backw. 2,30 ; Butterbreze 1,10|  O-Saft frisch| 
 Butterbreze 1,10|  Küche frei|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  O-Saft frisch| 
 Küche frei|  O-Saft frisch ; Backwaren Kuchen 1,30|  Butterbreze 1,10|  Obst 0,40|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Küche frei|  O-Saft frisch ; Butterbreze 1,10|  Obst 0,40|  belegte Backw. 2,30| 
 Küche frei|  O-Saft frisch|  Obst 0,40 ; Backwaren Kuchen 1,30|  Butterbreze 1,10|  belegte Backw. 2,30| 
 Butterbreze 1,10|  Küche frei|  O-Saft frisch ; Backwaren Kuchen 1,30|  Obst 0,40|  belegte Backw. 2,30| 
 Küche frei|  O-Saft frisch|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  Butterbreze 1,10|  Obst 0,40| 
 Butterbreze 1,10|  O-Saft frisch|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30   
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  O-Saft frisch ; Obst 0,40|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Küche frei|  O-Saft frisch|  Obst 0,40 ; Butterbreze 1,10|  belegte Backw. 2,30| 
 Butterbreze 1,10|  Küche frei|  O-Saft frisch|  Obst 0,40 ; Backwaren Kuchen 1,30|  belegte Backw. 2,30| 
 Backwaren Kuchen 1,30|  Küche frei|  O-Saft frisch|  belegte Backw. 2,30 ; Butterbreze 1,10|  Obst 0,40| 
 Backwaren Kuchen 1,30|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Butterbreze 1,10   
 Küche frei|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  Butterbreze 1,10| 
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  O-Saft frisch|  belegte Backw. 2,30 ; Obst 0,40   
 Butterbreze 1,10|  Küche frei|  O-Saft frisch|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30|  Obst 0,40| 
 Butterbreze 1,10|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30   
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  O-Saft frisch|  Obst 0,40 ; belegte Backw. 2,30   
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  O-Saft frisch|  belegte Backw. 2,30 ; Obst 0,40   
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  Küche frei|  Obst 0,40|  belegte Backw. 2,30 ; O-Saft frisch   
 Backwaren Kuchen 1,30|  Butterbreze 1,10|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Küche frei   
 Backwaren Kuchen 1,30|  Küche frei|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Butterbreze 1,10   
 Butterbreze 1,10|  Küche frei|  O-Saft frisch|  Obst 0,40|  belegte Backw. 2,30 ; Backwaren Kuchen 1,30   
 BIO Joghurt Frucht|  Küche frei ; Obstbecher 0,90|  belegte Backw. 2,30| 
 BIO Joghurt Frucht|  Küche frei|  Obstbecher 0,90 ; belegte Backw. 2,30   
 BIO Joghurt Frucht|  Küche frei|  belegte Backw. 2,30 ; Obstbecher 0,90   
 BIO Joghurt Frucht|  Obstbecher 0,90|  belegte Backw. 2,30 ; Küche frei   
 Küche frei|  Obstbecher 0,90|  belegte Backw. 2,30 ; BIO Joghurt Frucht   
 Kaffee  5,50 \x80|  Port. Butter Honig ec ; Breze 0,65|  O-Saft frisch| 
 Kaffee  5,50 \x80|  O-Saft frisch ; Breze 0,65|  Port. Butter Honig ec| 
 Breze 0,65|  Kaffee  5,50 \x80|  O-Saft frisch ; Port. Butter Honig ec   
 Breze 0,65|  Kaffee  5,50 \x80|  Port. Butter Honig ec ; O-Saft frisch   
 Kaffee  5,50 \x80|  O-Saft frisch|  Port. Butter Honig ec ; Breze 0,65   
 Eintrittskarte|  Kaffee  5,50 \x80 ; belegte Backw. 1,40|  belegte Backw. 2,30| 
 Kaffee  5,50 \x80|  belegte Backw. 2,30 ; Eintrittskarte|  belegte Backw. 1,40| 
 Kaffee  5,50 \x80|  belegte Backw. 1,40 ; Eintrittskarte|  belegte Backw. 2,30| 
 Eintrittskarte|  Kaffee  5,50 \x80|  belegte Backw. 1,40 ; belegte Backw. 2,30   
 Eintrittskarte|  Kaffee  5,50 \x80|  belegte Backw. 2,30 ; belegte Backw. 1,40   
 Eintrittskarte|  belegte Backw. 1,40|  belegte Backw. 2,30 ; Kaffee  5,50 \x80   
 Kaffee  5,50 \x80|  belegte Backw. 1,40|  belegte Backw. 2,30 ; Eintrittskarte   
 Kaffee  5,50 \x80|  Kornsemmel 0,40 ; Brot am Haken|  Ei 0,30|  Obst 0,40| 
 Brot am Haken|  Ei 0,30|  Kornsemmel 0,40 ; Obst 0,40   
 Brot am Haken|  Kaffee  5,50 \x80|  Kornsemmel 0,40 ; Ei 0,30|  Obst 0,40| 
 Ei 0,30|  Kaffee  5,50 \x80|  Kornsemmel 0,40 ; Brot am Haken|  Obst 0,40| 
 Kaffee  5,50 \x80|  Kornsemmel 0,40|  Obst 0,40 ; Brot am Haken|  Ei 0,30| 
 Brot am Haken|  Kornsemmel 0,40|  Obst 0,40 ; Ei 0,30   
 Brot am Haken|  Ei 0,30|  Kaffee  5,50 \x80|  Kornsemmel 0,40 ; Obst 0,40   
 Brot am Haken|  Ei 0,30|  Kornsemmel 0,40|  Obst 0,40 ; Kaffee  5,50 \x80   
 Brot am Haken|  Kaffee  5,50 \x80|  Kornsemmel 0,40|  Obst 0,40 ; Ei 0,30   
 Ei 0,30|  Kaffee  5,50 \x80|  Kornsemmel 0,40|  Obst 0,40 ; Brot am Haken   
 Kaffee  5,50 \x80|  Kuchenhappen 1,40 ; Breze 0,65|  Klassik Semmel 0,30| 
 Kaffee  5,50 \x80|  Klassik Semmel 0,30 ; Breze 0,65|  Kuchenhappen 1,40| 
 Breze 0,65|  Kaffee  5,50 \x80|  Klassik Semmel 0,30 ; Kuchenhappen 1,40   
 Breze 0,65|  Kaffee  5,50 \x80|  Kuchenhappen 1,40 ; Klassik Semmel 0,30   
 Breze 0,65|  Klassik Semmel 0,30|  Kuchenhappen 1,40 ; Kaffee  5,50 \x80   
 Kaffee  5,50 \x80|  Klassik Semmel 0,30|  Kuchenhappen 1,40 ; Breze 0,65   
 Brot am Haken|  Kaffee  5,50 \x80 ; Ei 0,30|  Obst 0,40| 
 Ei 0,30|  Kaffee  5,50 \x80 ; Brot am Haken|  Obst 0,40| 
 Brot am Haken|  Ei 0,30|  Kaffee  5,50 \x80 ; Obst 0,40   
 Brot am Haken|  Ei 0,30|  Obst 0,40 ; Kaffee  5,50 \x80   
 Brot am Haken|  Kaffee  5,50 \x80|  Obst 0,40 ; Ei 0,30   
 Ei 0,30|  Kaffee  5,50 \x80|  Obst 0,40 ; Brot am Haken   
 O-Saft frisch|  Währungsumstellung ; Key/Card-Aufladung   
 Key/Card-Aufladung|  Key/Card-Aufladung ; Währungsumstellung   
 Deprecziner Teller|  Wiener Teller ; Breze 0,65   
 Deprecziner Teller|  Kornsemmel 0,40 ; Senf 0,10   
 Deprecziner Teller|  Weißwurst Teller ; Breze 0,65|  O-Saft frisch| 
 Breze 0,65|  Deprecziner Teller|  O-Saft frisch ; Weißwurst Teller   
 Breze 0,65|  Deprecziner Teller|  Weißwurst Teller ; O-Saft frisch   
 Deprecziner Teller|  O-Saft frisch|  Weißwurst Teller ; Breze 0,65   
 Deprecziner Teller|  Deprecziner Teller ; Breze 0,65|  Proz. Rabatt/Aufschl.|  Senf 0,10| 
 Proz. Rabatt/Aufschl.|  Senf 0,10 ; Breze 0,65   
 Deprecziner Teller|  Deprecziner Teller|  Proz. Rabatt/Aufschl. ; Breze 0,65|  Senf 0,10| 
 Deprecziner Teller|  Deprecziner Teller|  Senf 0,10 ; Breze 0,65|  Proz. Rabatt/Aufschl.| 
 Breze 0,65|  Deprecziner Teller|  Deprecziner Teller ; Proz. Rabatt/Aufschl.|  Senf 0,10| 
 Breze 0,65|  Proz. Rabatt/Aufschl.|  Senf 0,10 ; Deprecziner Teller   
 Breze 0,65|  Deprecziner Teller|  Deprecziner Teller|  Proz. Rabatt/Aufschl. ; Senf 0,10   
 Breze 0,65|  Deprecziner Teller|  Deprecziner Teller|  Senf 0,10 ; Proz. Rabatt/Aufschl.   
 Deprecziner Teller|  Deprecziner Teller|  Proz. Rabatt/Aufschl.|  Senf 0,10 ; Breze 0,65   
 Deprecziner Teller|  Proz. Rabatt/Aufschl. ; Breze 0,65   
 Deprecziner Teller|  Proz. Rabatt/Aufschl.|  Senf 0,10 ; Breze 0,65   
 Deprecziner Teller|  O-Saft frisch|  Senf 0,10 ; Semmeln   
 Deprecziner Teller|  Semmeln|  Senf 0,10 ; O-Saft frisch   
 BIO Molkerei 0,50|  Brot am Haken ; Ei 0,30   
 BIO Molkerei 0,55 _|  Brot am Haken ; Ei 0,30   
 Brot am Haken|  Käse-Mohn Breze ; O-Saft frisch   
 Brot am Haken|  Landkuchen ; Kornsemmel 0,40   
 Brot am Haken|  Molkereiprodukte 0,65 ; Breze 0,65   
 Brot am Haken|  Senf 0,10 ; Klassik Semmel 0,30|  Marmelade 0,35|  O-Saft frisch| 
 Brot am Haken|  Klassik Semmel 0,30|  Senf 0,10 ; Marmelade 0,35|  O-Saft frisch| 
 Brot am Haken|  O-Saft frisch|  Senf 0,10 ; Klassik Semmel 0,30|  Marmelade 0,35| 
 Brot am Haken|  Marmelade 0,35 ; Klassik Semmel 0,30|  O-Saft frisch|  Senf 0,10| 
 Brot am Haken|  Klassik Semmel 0,30|  Marmelade 0,35 ; O-Saft frisch|  Senf 0,10| 
 Brot am Haken|  Marmelade 0,35|  Senf 0,10 ; Klassik Semmel 0,30|  O-Saft frisch| 
 Brot am Haken|  Marmelade 0,35|  O-Saft frisch ; Klassik Semmel 0,30|  Senf 0,10| 
 Brot am Haken|  Klassik Semmel 0,30|  Marmelade 0,35|  O-Saft frisch ; Senf 0,10   
 Brot am Haken|  Klassik Semmel 0,30|  Marmelade 0,35|  Senf 0,10 ; O-Saft frisch   
 Brot am Haken|  Klassik Semmel 0,30|  O-Saft frisch|  Senf 0,10 ; Marmelade 0,35   
 Brot am Haken|  Marmelade 0,35|  O-Saft frisch|  Senf 0,10 ; Klassik Semmel 0,30   
 Brot am Haken|  Semmeln ; Leberkäse Semmel   
 Brot am Haken|  O-Saft frisch|  Semmeln ; Leberkäse Semmel   
 Breze 0,65|  Brot am Haken|  Müsli to go ; Ei 0,30   
 Breze 0,65|  Brot am Haken|  Port. Butter Honig ec ; Ei 0,30|  Müsli to go| 
 Brot am Haken|  Müsli to go|  Port. Butter Honig ec ; Breze 0,65|  Ei 0,30| 
 Breze 0,65|  Brot am Haken|  Ei 0,30 ; Müsli to go   
 Brot am Haken|  Ei 0,30|  Port. Butter Honig ec ; Breze 0,65|  Müsli to go| 
 Breze 0,65|  Ei 0,30|  Müsli to go ; Port. Butter Honig ec   
 Breze 0,65|  Brot am Haken|  Ei 0,30|  Müsli to go ; Port. Butter Honig ec   
 Breze 0,65|  Brot am Haken|  Ei 0,30|  Port. Butter Honig ec ; Müsli to go   
 Breze 0,65|  Brot am Haken|  Müsli to go|  Port. Butter Honig ec ; Ei 0,30   
 Breze 0,65|  Ei 0,30|  Müsli to go|  Port. Butter Honig ec ; Brot am Haken   
 Brot am Haken|  Ei 0,30|  Müsli to go|  Port. Butter Honig ec ; Breze 0,65   
 Brot am Haken|  Müsli to go ; Ei 0,30   
 Brot am Haken|  Klassik Semmel 0,30|  Leberkäse Semmel ; O-Saft frisch   
 Brot am Haken|  Klassik Semmel 0,30|  Kornsemmel 0,40 ; Leberkäse Semmel|  O-Saft frisch| 
 Brot am Haken|  Kornsemmel 0,40|  Leberkäse Semmel ; Klassik Semmel 0,30|  O-Saft frisch| 
 Klassik Semmel 0,30|  Kornsemmel 0,40|  Leberkäse Semmel ; O-Saft frisch   
